endpoint,identity,status,bytes,flag
"POST /api/register","anon",403,54,""
"POST /api/register","nobody",403,52,""
"POST /api/register","viewer",403,52,""
"POST /api/register","portal-admin",403,54,""
"POST /api/register","portal-other",403,54,""
"POST /api/register","portal-driver",403,54,""
"POST /api/login","anon",429,72,""
"POST /api/login","nobody",429,72,""
"POST /api/login","viewer",429,72,""
"POST /api/login","portal-admin",429,72,""
"POST /api/login","portal-other",429,72,""
"POST /api/login","portal-driver",429,72,""
"POST /api/logout","anon",200,37,"non-privileged-2xx"
"POST /api/logout","nobody",200,37,"non-privileged-2xx"
"POST /api/logout","viewer",200,37,"non-privileged-2xx"
"POST /api/logout","portal-admin",200,37,""
"POST /api/logout","portal-other",200,37,"non-privileged-2xx"
"POST /api/logout","portal-driver",200,37,"non-privileged-2xx"
"GET /api/user","anon",401,31,""
"GET /api/user","nobody",401,31,""
"GET /api/user","viewer",401,31,""
"GET /api/user","manager",200,771,""
"GET /api/user","admin",200,470,""
"GET /api/user","portal-admin",401,31,""
"GET /api/user","portal-other",401,31,""
"GET /api/user","portal-driver",401,31,""
"POST /api/session/heartbeat","anon",401,26,""
"POST /api/session/heartbeat","nobody",401,26,""
"POST /api/session/heartbeat","viewer",401,26,""
"POST /api/session/heartbeat","portal-admin",401,26,""
"POST /api/session/heartbeat","portal-other",401,26,""
"POST /api/session/heartbeat","portal-driver",401,26,""
"POST /api/reauthenticate","anon",401,26,""
"POST /api/reauthenticate","nobody",401,26,""
"POST /api/reauthenticate","viewer",401,26,""
"POST /api/reauthenticate","portal-admin",401,26,""
"POST /api/reauthenticate","portal-other",401,26,""
"POST /api/reauthenticate","portal-driver",401,26,""
"GET /health","anon",200,310,""
"GET /health","nobody",200,310,""
"GET /health","viewer",200,310,""
"GET /health","manager",200,310,""
"GET /health","admin",200,310,""
"GET /health","portal-admin",200,310,""
"GET /health","portal-other",200,310,""
"GET /health","portal-driver",200,310,""
"GET /api","anon",200,102,""
"GET /api","nobody",200,102,""
"GET /api","viewer",200,102,""
"GET /api","manager",200,102,""
"GET /api","admin",200,102,""
"GET /api","portal-admin",200,102,""
"GET /api","portal-other",200,102,""
"GET /api","portal-driver",200,102,""
"GET *","anon",-1,0,""
"GET *","nobody",-1,0,""
"GET *","viewer",-1,0,""
"GET *","manager",-1,0,""
"GET *","admin",-1,0,""
"GET *","portal-admin",-1,0,""
"GET *","portal-other",-1,0,""
"GET *","portal-driver",-1,0,""
"GET /api/portal/csrf-token","anon",429,55,""
"GET /api/portal/csrf-token","nobody",429,55,""
"GET /api/portal/csrf-token","viewer",429,55,""
"GET /api/portal/csrf-token","manager",429,55,""
"GET /api/portal/csrf-token","admin",429,55,""
"GET /api/portal/csrf-token","portal-admin",429,55,""
"GET /api/portal/csrf-token","portal-other",429,55,""
"GET /api/portal/csrf-token","portal-driver",429,55,""
"POST /api/portal/login","anon",429,55,""
"POST /api/portal/login","nobody",429,55,""
"POST /api/portal/login","viewer",429,55,""
"POST /api/portal/login","portal-admin",429,55,""
"POST /api/portal/login","portal-other",429,55,""
"POST /api/portal/login","portal-driver",429,55,""
"POST /api/portal/logout","anon",429,55,""
"POST /api/portal/logout","nobody",429,55,""
"POST /api/portal/logout","viewer",429,55,""
"POST /api/portal/logout","portal-admin",429,55,""
"POST /api/portal/logout","portal-other",429,55,""
"POST /api/portal/logout","portal-driver",429,55,""
"GET /api/portal/me","anon",429,55,""
"GET /api/portal/me","nobody",429,55,""
"GET /api/portal/me","viewer",429,55,""
"GET /api/portal/me","manager",429,55,""
"GET /api/portal/me","admin",429,55,""
"GET /api/portal/me","portal-admin",429,55,""
"GET /api/portal/me","portal-other",429,55,""
"GET /api/portal/me","portal-driver",429,55,""
"PATCH /api/portal/me","anon",429,55,""
"PATCH /api/portal/me","nobody",429,55,""
"PATCH /api/portal/me","viewer",429,55,""
"PATCH /api/portal/me","portal-admin",429,55,""
"PATCH /api/portal/me","portal-other",429,55,""
"PATCH /api/portal/me","portal-driver",429,55,""
"POST /api/portal/me/email","anon",429,55,""
"POST /api/portal/me/email","nobody",429,55,""
"POST /api/portal/me/email","viewer",429,55,""
"POST /api/portal/me/email","portal-admin",429,55,""
"POST /api/portal/me/email","portal-other",429,55,""
"POST /api/portal/me/email","portal-driver",429,55,""
"POST /api/portal/me/email/cancel","anon",429,55,""
"POST /api/portal/me/email/cancel","nobody",429,55,""
"POST /api/portal/me/email/cancel","viewer",429,55,""
"POST /api/portal/me/email/cancel","portal-admin",429,55,""
"POST /api/portal/me/email/cancel","portal-other",429,55,""
"POST /api/portal/me/email/cancel","portal-driver",429,55,""
"POST /api/portal/email/confirm","anon",429,55,""
"POST /api/portal/email/confirm","nobody",429,55,""
"POST /api/portal/email/confirm","viewer",429,55,""
"POST /api/portal/email/confirm","portal-admin",429,55,""
"POST /api/portal/email/confirm","portal-other",429,55,""
"POST /api/portal/email/confirm","portal-driver",429,55,""
"PATCH /api/portal/me/company","anon",429,55,""
"PATCH /api/portal/me/company","nobody",429,55,""
"PATCH /api/portal/me/company","viewer",429,55,""
"PATCH /api/portal/me/company","portal-admin",429,55,""
"PATCH /api/portal/me/company","portal-other",429,55,""
